domain,n_zho_captures_capped,n_captures_capped,has_chinese_presence,n_register_entities,register_entities,jurisdiction,sample_zho_url
radexmarkets.com,0,2,0,1,RADEX MARKETS LTD,Seychelles,
robomarkets.com,0,13,0,1,RoboMarkets Ltd,Seychelles,
rock-west.com,13,267,1,1,MAIV LIMITED,Seychelles,https://www.rock-west.com/zh/blank-1
roxom.com,0,763,0,1,Roxom Securities (Seychelles) Ltd,Seychelles,
sanabilcapital.com,0,9,0,1,SANABIL CAPITAL LTD,Seychelles,
scopemarkets.sc,0,4,0,1,Scope Markets Global Ltd,Seychelles,
scopeprime.com,0,10,0,1,MMCD Resources Limited,Seychelles,
secdex.net,0,62,0,3,SECDEX Exchange Limited | SECDEX Depository Limited | SECDEX Clearing Limited,Seychelles,
sifx.com,0,0,0,1,FXW Global Ltd,Seychelles,
smarttoolsc.com,0,0,0,1,Smarttool Trading SC Limited,Seychelles,
solidaryprime.com,0,0,0,1,Solidary Prime Ltd,Seychelles,
sqfin.com,0,0,0,1,SQ Sey Ltd,Seychelles,
startrader.com,0,2,0,1,STARTRADER LIMITED,Seychelles,
supremefxtrading.com,0,5,0,1,Sun Capital Markets Ltd,Seychelles,
t4trade.com,3,93,1,1,Tradeco Limited,Seychelles,https://partners.t4trade.com/zh/
taurexprime.com,0,0,0,1,Taurex Global Limited,Seychelles,
teleportbrokers.com,0,0,0,1,Teleport Brokers Ltd,Seychelles,
tggbroker.com,0,4,0,1,TGG International Ltd,Seychelles,
tickmill.com,0,66,0,1,Tickmill Ltd,Seychelles,
tnfx.co,0,2,0,1,TNFX Ltd,Seychelles,
topfx.com.sc,0,19,0,1,TopFX Global Ltd,Seychelles,
topicalwealth.com,0,1,0,1,Topical Wealth International Ltd,Seychelles,
topline.limited,0,1,0,1,Topline Limited,Seychelles,
tradenation.com,0,644,0,1,TRADE NATION FINANCIAL MARKETS LIMITED,Seychelles,
tradequo.com,5,119,1,1,Trade Quo Global Ltd,Seychelles,https://tradequo.com/zh/company/business
traders-trust.com,0,537,0,1,Traders Trust Ltd,Seychelles,
tradershub.sc,0,6,0,1,Traders' Hub Ltd,Seychelles,
tradeview.tech,0,710,0,1,Trade View Technologies Ltd,Seychelles,
